day,wbtc_usd
2018-02-21,0.03
2018-02-22,0.03
2018-02-23,0.03
2018-02-24,0.03
2018-02-25,0.02
2018-02-26,0.03
2018-02-27,0.03
2018-02-28,0.03
2018-03-01,0.02
2018-03-02,0.04
2018-03-03,0.05
2018-03-04,0.10
2018-03-05,0.28
2018-03-06,0.24
2018-03-07,0.17
2018-03-08,0.10
2018-03-09,0.03
2018-03-10,0.03
2018-03-11,0.02
2018-03-12,0.02
2018-03-13,0.03
2018-03-14,0.02
2018-03-15,0.02
2018-03-16,0.03
2018-03-17,0.03
2018-03-18,0.03
2018-03-19,0.03
2018-03-20,0.03
2018-03-21,0.03
2018-03-22,0.03
2018-03-23,0.02
2018-03-24,0.03
2018-03-25,0.02
2018-03-26,0.03
2018-03-27,0.03
2018-03-28,0.03
2018-03-29,0.06
2018-03-30,0.05
2018-03-31,0.10
2018-04-01,0.08
2018-04-02,0.13
2018-04-03,0.13
2018-04-04,0.14
2018-04-05,0.15
2018-04-06,0.11
2018-04-07,0.19
2018-04-08,0.18
2018-04-09,0.19
2018-04-10,0.20
2018-04-11,0.19
2018-04-12,0.28
2018-04-13,0.22
2018-04-14,0.21
2018-04-15,0.24
2018-04-16,0.25
2018-04-17,0.24
2018-04-18,0.24
2018-04-19,0.21
2018-04-20,0.23
2018-04-21,0.19
2018-04-22,0.12
2018-04-23,0.18
2018-04-24,0.23
2018-04-25,0.19
2018-04-26,0.22
2018-04-27,0.17
2018-04-28,0.22
2018-04-29,0.22
2018-04-30,0.19
2018-05-01,0.17
2018-05-02,0.18
2018-05-03,0.19
2018-05-04,0.15
2018-05-05,0.06
2018-05-06,0.07
2018-05-07,0.08
2018-05-08,0.14
2018-05-09,0.09
2018-05-10,0.10
2018-05-11,0.10
2018-05-12,0.09
2018-05-13,0.09
2018-05-14,0.08
2018-05-15,0.07
2018-05-16,0.08
2018-05-17,0.08
2018-05-18,0.05
2018-05-19,0.04
2018-05-20,0.05
2018-05-21,0.05
2018-05-22,0.06
2018-05-23,0.05
2018-05-24,0.05
2018-05-25,0.04
2018-05-26,0.05
2018-05-27,0.06
2018-05-28,0.04
2018-05-29,0.04
2018-05-30,0.05
2018-05-31,0.04
2018-06-01,0.05
2018-06-02,0.04
2018-06-03,0.05
2018-06-04,0.04
2018-06-05,0.06
2018-06-06,0.04
2018-06-07,0.04
2018-06-08,0.05
2018-06-09,0.06
2018-06-10,0.05
