day,nav_usd,btc_usd,nav_btc,roi_in_btc,roi_in_usd,alpha_vs_btc
2025-07-23,1.00077114,118808.78,0.00000842,0.000000,0.000000,0.000000
2025-07-24,0.99926840,118397.33,0.00000844,0.001968,-0.001502,0.001968
2025-07-25,0.99169300,117644.11,0.00000843,0.000739,-0.009071,0.000739
2025-07-26,0.99555231,117971.27,0.00000844,0.001847,-0.005215,0.001847
2025-07-27,1.00770869,119468.71,0.00000843,0.001370,0.006932,0.001370
2025-07-28,0.99608217,118059.92,0.00000844,0.001628,-0.004685,0.001628
2025-07-29,0.99410246,117942.11,0.00000843,0.000636,-0.006664,0.000636
2025-07-30,0.99366981,117853.30,0.00000843,0.000954,-0.007096,0.000954
2025-07-31,0.97660679,115765.36,0.00000844,0.001509,-0.024146,0.001509
2025-08-01,0.95282615,113263.48,0.00000841,-0.001294,-0.047908,-0.001294
2025-08-02,0.94535076,112546.32,0.00000840,-0.002816,-0.055378,-0.002816
2025-08-03,0.96308255,114238.83,0.00000843,0.000837,-0.037660,0.000837
2025-08-04,0.97203295,115065.90,0.00000845,0.002878,-0.028716,0.002878
2025-08-05,0.96222289,114127.63,0.00000843,0.000918,-0.038519,0.000918
2025-08-06,0.97380603,115038.45,0.00000847,0.004947,-0.026944,0.004947
2025-08-07,0.99488710,117522.28,0.00000847,0.005003,-0.005880,0.005003
2025-08-08,0.98830684,116692.86,0.00000847,0.005452,-0.012455,0.005452
2025-08-09,0.98681471,116501.28,0.00000847,0.005585,-0.013946,0.005585
2025-08-10,1.00972409,119311.70,0.00000846,0.004693,0.008946,0.004693
2025-08-11,1.00515911,118714.58,0.00000847,0.005182,0.004385,0.005182
2025-08-12,1.01542031,120128.24,0.00000845,0.003493,0.014638,0.003493
2025-08-13,1.03989435,123374.56,0.00000843,0.000639,0.039093,0.000639
2025-08-14,1.00171089,118391.59,0.00000846,0.004466,0.000939,0.004466
2025-08-15,0.99371075,117440.09,0.00000846,0.004517,-0.007055,0.004517
2025-08-16,0.99516745,117469.52,0.00000847,0.005738,-0.005599,0.005738
2025-08-17,0.99530797,117488.00,0.00000847,0.005721,-0.005459,0.005721
2025-08-18,0.98523657,116292.15,0.00000847,0.005782,-0.015523,0.005782
2025-08-19,0.95753923,112870.67,0.00000848,0.007139,-0.043199,0.007139
2025-08-20,0.96932549,114291.37,0.00000848,0.006862,-0.031421,0.006862
2025-08-21,0.95412075,112491.84,0.00000848,0.006923,-0.046614,0.006923
2025-08-22,0.99107605,116909.79,0.00000848,0.006398,-0.009688,0.006398
2025-08-23,0.97684872,115391.76,0.00000847,0.005001,-0.023904,0.005001
2025-08-24,0.96225955,113486.67,0.00000848,0.006610,-0.038482,0.006610
2025-08-25,0.93506171,110150.15,0.00000849,0.007787,-0.065659,0.007787
2025-08-26,0.95063541,111805.93,0.00000850,0.009399,-0.050097,0.009399
2025-08-27,0.94554807,111276.98,0.00000850,0.008770,-0.055181,0.008770
2025-08-28,0.95460703,112582.21,0.00000848,0.006627,-0.046129,0.006627
2025-08-29,0.92198001,108393.15,0.00000851,0.009796,-0.078730,0.009796
2025-08-30,0.92422433,108833.53,0.00000849,0.008158,-0.076488,0.008158
2025-08-31,0.92053598,108273.72,0.00000850,0.009326,-0.080173,0.009326
2025-09-01,0.92633384,109256.28,0.00000848,0.006549,-0.074380,0.006549
2025-09-02,0.94326937,111245.94,0.00000848,0.006619,-0.057457,0.006619
2025-09-03,0.94877386,111751.51,0.00000849,0.007913,-0.051957,0.007913
2025-09-04,0.93888786,110732.33,0.00000848,0.006591,-0.061836,0.006591
2025-09-05,0.93926785,110676.99,0.00000849,0.007502,-0.061456,0.007502
2025-09-06,0.93454906,110230.16,0.00000848,0.006504,-0.066171,0.006504
2025-09-07,0.94242497,111143.24,0.00000848,0.006648,-0.058301,0.006648
2025-09-08,0.95139793,112089.06,0.00000849,0.007657,-0.049335,0.007657
2025-09-09,0.94557509,111549.14,0.00000848,0.006337,-0.055154,0.006337
2025-09-10,0.96653252,113988.20,0.00000848,0.006631,-0.034212,0.006631
2025-09-11,0.97780443,115537.84,0.00000846,0.004712,-0.022949,0.004712
2025-09-12,0.98516987,116116.26,0.00000848,0.007237,-0.015589,0.007237
2025-09-13,0.98248580,115971.92,0.00000847,0.005743,-0.018271,0.005743
2025-09-14,0.97900656,115351.87,0.00000849,0.007569,-0.021748,0.007569
2025-09-15,0.97785759,115401.06,0.00000847,0.005957,-0.022896,0.005957
2025-09-16,0.98856011,116838.31,0.00000846,0.004458,-0.012202,0.004458
2025-09-17,0.98897955,116488.17,0.00000849,0.007904,-0.011783,0.007904
2025-09-18,0.99293446,117126.46,0.00000848,0.006420,-0.007831,0.006420
2025-09-19,0.98107555,115701.97,0.00000848,0.006643,-0.019680,0.006643
