day,wbtc_usd
2025-07-23,118678.09
2025-07-24,118243.41
2025-07-25,117538.23
2025-07-26,117900.49
2025-07-27,119361.19
2025-07-28,117941.86
2025-07-29,117824.17
2025-07-30,117759.02
2025-07-31,115719.05
2025-08-01,113161.54
2025-08-02,112445.03
2025-08-03,114170.29
2025-08-04,115008.37
2025-08-05,114081.98
2025-08-06,114969.43
2025-08-07,117487.02
2025-08-08,116646.18
2025-08-09,116419.73
2025-08-10,119192.39
2025-08-11,118583.99
2025-08-12,120044.15
2025-08-13,123275.86
2025-08-14,118391.59
2025-08-15,117428.35
2025-08-16,117446.03
2025-08-17,117464.50
2025-08-18,116292.15
2025-08-19,112859.38
2025-08-20,114291.37
2025-08-21,112491.84
2025-08-22,116909.79
2025-08-23,115391.76
2025-08-24,113600.16
2025-08-25,110260.30
2025-08-26,111917.74
2025-08-27,111388.26
2025-08-28,112582.21
2025-08-29,108609.94
2025-08-30,108942.36
2025-08-31,108381.99
2025-09-01,109365.54
2025-09-02,111245.94
2025-09-03,111751.51
2025-09-04,110710.18
2025-09-05,110676.99
2025-09-06,110230.16
2025-09-07,111143.24
2025-09-08,112089.06
2025-09-09,111549.14
2025-09-10,113988.20
2025-09-11,115537.84
2025-09-12,116116.26
2025-09-13,115937.13
2025-09-14,115351.87
2025-09-15,115401.06
2025-09-16,116838.31
2025-09-17,116488.17
2025-09-18,117126.46
2025-09-19,115817.67
2025-09-20,115756.07
2025-09-21,115242.18
2025-09-22,112747.85
2025-09-23,112021.25
2025-09-24,113349.35
2025-09-25,110951.97
2025-09-26,109731.31
2025-09-27,109663.84
2025-09-28,112211.10
2025-09-29,114431.43
2025-09-30,113243.02
2025-10-01,118100.07
2025-10-02,118695.10
2025-10-03,122386.06
2025-10-04,122345.08
2025-10-05,123479.46
2025-10-06,124855.67
2025-10-07,121877.89
2025-10-08,123260.19
2025-10-09,121422.92
